Species,AltNames,GenoSero-types,Disease_type,Disease_Name,Tax_ID,NCBI_Genbank_ID,Status,Commensal,NNDSS_Notifiable,Reference
Bordetella parapertussis,,,Bacterial,,519,NZ_CP025070.1,Known Pathogen,,,14
Bordetella holmesii,,,Bacterial,,35814,NZ_CP043146.1,Known Pathogen,,,15
Bordetella hinzii,,,Bacterial,,103855,NZ_CP021395.1,Known Pathogen,,,16
Borrelia mayonii,,,Bacterial,Lyme Disease,1674146,NZ_CP015796.1,Known Pathogen,,,1
Borrelia miyamotoi,,,Bacterial,Tickborne relapsing fever,47466,NZ_AP024371.1,Known Pathogen,,,1
Borrelia recurrentis,,,Bacterial,Tickborne relapsing fever,44449,NC_011244.1,Known Pathogen,,,1
Borreliella burgdorferi,,,Bacterial,Lyme Disease,139,GCF_000181575.2,Known Pathogen,,,1
Brachyspira hyodysenteriae,,,Bacterial,,159,NZ_CP046932.1,Known Pathogen,,,1
Brevibacillus brevis,,,Bacterial,,1393,NZ_LR134338.1,Known Pathogen,,,1
Brevibacillus laterosporus,,,Bacterial,,1465,NZ_CP017705.1,Known Pathogen,,,1
Brucella abortus,,,Bacterial,Brucellosis,235,NC_007618.1 (I); NC_007624.1 (II),Known Pathogen,,,1
Brucella canis,,,Bacterial,Brucellosis,36855,NC_010103.1 (I); NC_010104.1 (II),Known Pathogen,,,1
Brucella melitensis,,,Bacterial,Brucellosis,29459,NC_003317.1 (I); NC_003318.1 (II),Known Pathogen,,,1
Brucella suis,,,Bacterial,Brucellosis,29461,NC_004310.3 (I); NC_004311.2 (II),Known Pathogen,,,1
Burkholderia mallei,,,Bacterial,Glanders,13373,NZ_CP009727.1 (Chr1); NZ_CP009728.1 (Chr2),Known Pathogen,,,1
Burkholderia pseudomallei,,,Bacterial,Melioidosis,28450,NZ_CP008781.1 (Chr1); NZ_CP008782.1 (Chr2),Known Pathogen,,,1
Campylobacter curvus,,,Bacterial,Campylobacteriosis,200,NZ_CP053826.1,Known Pathogen,,,1
Campylobacter fetus,,,Bacterial,Campylobacteriosis,196,NZ_CP059443.1,Known Pathogen,,,1
Campylobacter jejuni,,,Bacterial,Campylobacteriosis,197,NC_002163.1,Known Pathogen,,Yes,1
Campylobacter lari,,,Bacterial,Campylobacteriosis,201,NC_012039.1,Known Pathogen,,,1
Chlamydia pneumoniae,,,Bacterial,,83558,NC_005043.1,Known Pathogen,,,1
Chlamydia psittaci,,,Bacterial,Psittacosis (ornithosis),83554,NC_017287.1,Known Pathogen,,Yes,"1,2"
Chlamydia trachomatis,,,Bacterial,Chlamydia,813,NC_000117.1,Known Pathogen,,Yes,1
Citrobacter koseri,,,Bacterial,,545,NC_009792.1,Known Pathogen,,,7
Citrobacter freundii,,,Bacterial,,546,NZ_CP033744.1,Known Pathogen,,,7
Clostridioides difficile,,,Bacterial,,1496,NZ_CP076401.1,Known Pathogen,,,1
Clostridium botulinum,,,Bacterial,Botulism,1491,NC_009495.1,Known Pathogen,,Yes,1
Clostridium perfringens,,,Bacterial,,1502,NZ_CP075979.1,Known Pathogen,,,1
Clostridium septicum,,,Bacterial,,1504,NZ_CP023671.1,Known Pathogen,,,1
Clostridium tetani,,,Bacterial,Tetanus,1513,NC_004557.1,Known Pathogen,,Yes,"1,2"
Corynebacterium diphtheriae,,,Bacterial,Diptheria,1717,NZ_CP025209.1,Known Pathogen,,Yes,1
Corynebacterium minutissimum,,,Bacterial,Erythrasma,38301,NZ_LS483460.1,Known Pathogen,,,1
Coxiella burnetii,,,Bacterial,Q fever,777,NC_002971.4,Known Pathogen,,Yes,"1,2"
Ehrlichia chaffeensis,,,Bacterial,Ehrlichiosis,945,NZ_CP007480.1,Known Pathogen,,,1
Ehrlichia ewingii,,,Bacterial,Ehrlichiosis,947,,Known Pathogen,,,1
Ehrlichia muris,,,Bacterial,Ehrlichiosis,35795,NC_023063.1,Known Pathogen,,,1
Elizabethkingia anophelis,,,Bacterial,Elizabethkingia,1117645,NZ_CP023401.1,Known Pathogen,,,1
Elizabethkingia meningoseptica,,,Bacterial,Elizabethkingia,238,NZ_CP016378.1,Known Pathogen,,,1
Enterobacter cloacae,,,Bacterial,,550,GCF_023702375.1,Known Pathogen,,,1
Enterococcus avium,,,Bacterial,,33945,GCF_002891025.1,Known Pathogen,,,10
Enterococcus faecalis,,,Bacterial,,1351,GCF_000393015.1,Known Pathogen,Intestinal; Oral; Female Urogenital Tract,,1
Enterococcus faecium,,,Bacterial,,1352,NZ_CP038996.1,Known Pathogen,Intestinal,,9
Erysipelothrix rhusiopathiae,,,Bacterial,,1648,NZ_LR134439.1,Known Pathogen,,,1
Escherichia coli,,,Bacterial,Haemolytic uraemic syndrome,562,NC_000913.3,Known Pathogen,,Yes (STEC),"1,2"
Finegoldia magna,,,Bacterial,,1260,GCF_002243135.1,Known Pathogen,Skin,,1
Francisella tularensis,,,Bacterial,Tularaemia,263,GCF_000833355.1,Known Pathogen,,Yes,"1,2"
Fusobacterium necrophorum,,,Bacterial,Lemierre's syndrome,859,NZ_CP019306.1,Known Pathogen,,,1
Fusobacterium nucleatum,,,Bacterial,,851,NZ_CP028101.1,Known Pathogen,Oral,,1
Gardnerella vaginalis,,,Bacterial,Bacterial Vaginosis,2702,GCF_002861965.1,Known Pathogen,Female Urogenital Tract,,1
Haemophilus aegyptius,,,Bacterial,,197575,NZ_LS483429.1,Known Pathogen,,,1
Haemophilus influenzae,,,Bacterial,,727,NZ_CP007470.1,Known Pathogen,Upper Respiratory Tract,Yes (HIB),"1,2"
Haemophilus parainfluenzae,,,Bacterial,,729,GCF_000191405.1,Known Pathogen,Oral; Upper Respiratory Tract,,1
Kingella denitrificans,,,Bacterial,,502,GCF_900451365.1,Known Pathogen,Oral; Upper Respiratory Tract,,1
Klebsiella aerogenes,,,Bacterial,,548,NZ_CP041925.1,Known Pathogen,,,1
Klebsiella granulomatis,,,Bacterial,Donovanosis,39824,,Known Pathogen,,Yes,"1,2"
Klebsiella oxytoca,,,Bacterial,,571,NZ_CP033844.1,Known Pathogen,,,13
Klebsiella pneumoniae,,,Bacterial,,573,NC_016845.1,Known Pathogen,Intestinal,,1
Legionella pneumophila,,,Bacterial,Legionellosis,446,NZ_CP015941.1,Known Pathogen,,Yes,"1,2"
Lelliottia nimipressuralis,,,Bacterial,,69220,GCF_021083665.1,Case Report,,,5
Leptospira alexanderi,,,Bacterial,Leptospirosis,100053,GCF_002009845.1,Known Pathogen,,Yes,"1,2"
Leptospira alstonii,,,Bacterial,Leptospirosis,28452,GCF_001569395.1,Known Pathogen,,Yes,"1,2"
Leptospira borgpetersenii,,,Bacterial,Leptospirosis,174,"NZ_CP026671.1 (Chr1); 	NZ_CP026672.1 (Chr2)",Known Pathogen,,Yes,"1,2"
Leptospira interrogans,,,Bacterial,Leptospirosis,173,NZ_CP020414.2,Known Pathogen,,Yes,"1,2"
Leptospira kirschneri,,,Bacterial,Leptospirosis,29507,GCF_000243695.2,Known Pathogen,,Yes,"1,2"
Leptospira kmetyi,,,Bacterial,Leptospirosis,408139,"NZ_CP033614.1 (Chr1); 	NZ_CP033615.1 (Chr2)",Known Pathogen,,Yes,"1,2"
Leptospira mayottensis,,,Bacterial,Leptospirosis,1137606,NZ_CP024871.1 (Chr1); NZ_CP024872.1 (Chr2),Known Pathogen,,Yes,"1,2"
Leptospira noguchii,,,Bacterial,Leptospirosis,28182,GCF_000306255.2,Known Pathogen,,Yes,"1,2"
Leptospira santarosai,,,Bacterial,Leptospirosis,28183,"NZ_CP006694.1 (Chr1); 	NZ_CP006695.1 (Chr2)",Known Pathogen,,Yes,"1,2"
Leptospira weilii,,,Bacterial,Leptospirosis,28184,NZ_CP040840.1 (Chr1); NZ_CP040841.1 (Chr2),Known Pathogen,,Yes,"1,2"
Listeria monocytogenes,,,Bacterial,Listeriosis,1639,NC_003210.1,Known Pathogen,,Yes,"1,2"
Moraxella catarrhalis,,,Bacterial,,480,NZ_CP018059.1,Known Pathogen,Upper Respiratory Tract,,1
Moraxella lacunata,,,Bacterial,,477,GCF_900453245.1,Known Pathogen,,,1
Moraxella nonliquefaciens,,,Bacterial,,478,NZ_CP065728.1,Known Pathogen,Upper Respiratory Tract,,1
Morganella morganii,,,Bacterial,,582,NZ_LR699007.1,Known Pathogen,Intestinal,,1
Mycobacterium leprae,,,Bacterial,Leprosy,1769,NZ_CP029543.1,Known Pathogen,,Yes,"1,2"
Mycobacterium malmoense,,,Bacterial,,1780,NZ_CP080999.1,Known Pathogen,,,1
Mycobacterium marinum,,,Bacterial,,1781,NZ_HG917972.2,Known Pathogen,,,1
Mycobacterium simiae,,,Bacterial,,1784,NZ_AP022568.1,Known Pathogen,Lower Respiratory Tract,,1
Mycobacterium tuberculosis,,,Bacterial,Tuberculosis,1773,GCF_000195955.2,Known Pathogen,,Yes,"1,2"
Mycobacterium ulcerans,,,Bacterial,Buruli ulcer,1809,NZ_CP085200.1,Known Pathogen,,,1
Mycobacterium xenopi,,,Bacterial,,1789,GCF_900453395.1,Known Pathogen,,,1
Mycolicibacter terrae,,,Bacterial,,1788,,Known Pathogen,,,1
Mycolicibacterium fortuitum,,,Bacterial,,1766,,Known Pathogen,,,1
Mycolicibacterium wolinskyi,,,Bacterial,,59750,,Known Pathogen,,,1
Mycoplasma genitalium,,,Bacterial,,2097,,Known Pathogen,,,1
Mycoplasma hominis,,,Bacterial,,2098,,Known Pathogen,Lower Urogenital Tract,,1
Mycoplasma pneumoniae,,,Bacterial,,2104,,Known Pathogen,,,1
Mycoplasma salivarium,,,Bacterial,,2124,,Known Pathogen,Oral,,1
Neisseria gonorrhoeae,,,Bacterial,Gonorrhoea,485,,Known Pathogen,,Yes,"1,2"
Neisseria meningitidis,Meningococcus,,Bacterial,Meningococcal disease,487,,Known Pathogen,Upper Respiratory Tract,Yes,"1,2"
Nocardia brasiliensis,,,Bacterial,,37326,,Known Pathogen,,,1
Olsenella uli,,,Bacterial,,633147,,Case Report,Oral; Intestinal,,4
Orientia tsutsugamushi,,,Bacterial,Scrub typhus,784,,Known Pathogen,,,1
Paraclostridium bifermentans,,,Bacterial,,1490,,Known Pathogen,,,1
Parvimonas micra,,,Bacterial,,33033,,Known Pathogen,Oral; Upper Respiratory Tract; Lower Respiratory Tract; Intestinal; Female Urogenital Tract,,1
Pasteurella multocida,,,Bacterial,,747,,Known Pathogen,,,1
Peptoniphilus asaccharolyticus,,,Bacterial,,1258,,Known Pathogen,Skin,,1
Peptostreptococcus anaerobius,,,Bacterial,,1261,,Known Pathogen,Intestinal,,1
Plesiomonas shigelloides,,,Bacterial,,703,,Known Pathogen,,,1
Porphyromonas gingivalis,,,Bacterial,,837,,Known Pathogen,Oral,,1
Prevotella bivia,,,Bacterial,,28125,,Known Pathogen,Oral; Female Urogenital Tract,,1
Prevotella intermedia,,,Bacterial,,28131,,Known Pathogen,,,1
Prevotella melaninogenica,,,Bacterial,,28132,,Known Pathogen,Upper Respiratory Tract,,1
Proteus mirabilis,,,Bacterial,,584,,Known Pathogen,,,1
Pseudomonas aeruginosa,,,Bacterial,,187,,Known Pathogen,,,3
Rickettsia africae,,,Bacterial,African tick bite fever,35788,,Known Pathogen,,,1
Rickettsia akari,,,Bacterial,Rickettsialpox,786,,Known Pathogen,,,1
Rickettsia australis,,,Bacterial,Queensland tick typhus (Spotted fever group rickettsiae),787,,Known Pathogen,,,1
Rickettsia conorii,,,Bacterial,Boutonneuse fever,781,,Known Pathogen,,,1
Rickettsia felis,,,Bacterial,Cat Flea tick typhus (Spotted fever group rickettsiae),42862,,Known Pathogen,,,1
Rickettsia honei,,,Bacterial,Flinders Island tick typhus (Spotted fever group rickettsiae),37816,,Known Pathogen,,,11
Rickettsia japonica,,,Bacterial,Japanese spotted fever,35790,,Known Pathogen,,,1
Rickettsia prowazekii,,,Bacterial,Epidemic typhus (Louse-borne typhus),782,,Known Pathogen,,,1
Rickettsia rickettsii,,,Bacterial,Rocky Mountain spotted fever,783,,Known Pathogen,,,1
Rickettsia sibirica,,,Bacterial,North Asian tick typhus (Siberian tick typhus),35793,,Known Pathogen,,,1
Rickettsia typhi,,,Bacterial,Murine typhus,785,,Known Pathogen,,,1
Salmonella bongori,,,Bacterial,Salmonellosis,54736,,Known Pathogen,,,1
Salmonella enterica,,,Bacterial,Salmonellosis,28901,,Known Pathogen,,Yes,"1,2"
Serratia marcescens,,,Bacterial,,615,,Known Pathogen,,,6
Shigella boydii,,,Bacterial,Shigellosis,621,,Known Pathogen,,Yes,"1,2"
Shigella dysenteriae,,,Bacterial,Shigellosis,622,,Known Pathogen,,Yes,"1,2"
Shigella flexneri,,,Bacterial,Shigellosis,623,,Known Pathogen,,Yes,"1,2"
Shigella sonnei,,,Bacterial,Shigellosis,624,,Known Pathogen,,Yes,"1,2"
Staphylococcus aureus,,,Bacterial,,1280,,Known Pathogen,Skin; Upper Respiratory Tract,,1
Staphylococcus capitis,,,Bacterial,,29388,,Known Pathogen,Skin,,1
Staphylococcus epidermidis,,,Bacterial,,1282,,Known Pathogen,Skin; Upper Respiratory Tract,,1
Staphylococcus haemolyticus,,,Bacterial,,1283,,Known Pathogen,Skin,,1
Staphylococcus saccharolyticus,,,Bacterial,,33028,,Known Pathogen,Skin,,1
Staphylococcus saprophyticus,,,Bacterial,,29385,,Known Pathogen,,,1
Stenotrophomonas maltophilia,,,Bacterial,,40324,,Known Pathogen,,,8
Streptobacillus moniliformis,,,Bacterial,Rat Bite Fever,34105,,Known Pathogen,,,1
Streptococcus agalactiae,Group B Streptococcus,,Bacterial,,1311,,Known Pathogen,Intestinal; Female Urogenital Tract,,1
Streptococcus anginosus,"Group F,G,L&Viridians Streptococcus",,Bacterial,,1328,,Known Pathogen,Upper Respiratory Tract; Intestinal; Urogenital Tract,,1
Streptococcus equinus,Group C Streptococcus,,Bacterial,,1335,,Known Pathogen,,,1
Streptococcus gordonii,,,Bacterial,,1302,,Known Pathogen,Skin; Oral; Intestinal,,1
Streptococcus intermedius,,,Bacterial,,1338,,Known Pathogen,Upper Respiratory Tract; Intestinal; Urogenital Tract,,1
Streptococcus mitis,Group M&O Streptococcus,,Bacterial,,28037,,Known Pathogen,Oral,,1
Streptococcus mutans,Viridans Streptococcus,,Bacterial,,1309,,Known Pathogen,Oral,,1
Streptococcus pneumoniae,,,Bacterial,Pneumococcal disease,1313,,Known Pathogen,Upper Respiratory Tract,Yes,"1,2"
Streptococcus pyogenes,Group A Streptococcus,,Bacterial,,1314,,Known Pathogen,Upper Respiratory Tract; Intestinal; Urogenital Tract; Skin,Yes,"1,2"
Streptococcus sanguinis,Group H Streptococcus,,Bacterial,,1305,,Known Pathogen,Oral,,1
Streptococcus suis,Group R&S Streptococcus,,Bacterial,,1307,,Known Pathogen,,,1
Suttonella indologenes,,,Bacterial,,13276,,Known Pathogen,Upper Respiratory Tract,,1
Tannerella forsythia,,,Bacterial,,28112,,Known Pathogen,,,1
Tatlockia micdadei,,,Bacterial,,451,,Known Pathogen,,,1
Treponema denticola,,,Bacterial,,158,,Known Pathogen,,,1
Treponema pallidum,,,Bacterial,Syphilis,160,,Known Pathogen,,Yes,"1,2"
Treponema vincentii,,,Bacterial,,69710,,Known Pathogen,,,1
Tropheryma whipplei,,,Bacterial,Whipple's disease,2039,,Known Pathogen,,,1
Ureaplasma urealyticum,,,Bacterial,,2130,,Known Pathogen,Urogenital Tract,,1
Vibrio alginolyticus,,,Bacterial,Vibriosis,663,,Known Pathogen,,,1
Vibrio cholerae,,,Bacterial,Cholera,666,,Known Pathogen,,Yes,"1,2"
Vibrio parahaemolyticus,,,Bacterial,Vibriosis,670,,Known Pathogen,,,1
Vibrio vulnificus,,,Bacterial,Vibriosis,672,,Known Pathogen,,,1
Yersinia enterocolitica,,,Bacterial,,630,,Known Pathogen,,,1
Yersinia pestis,,,Bacterial,Plague,632,,Known Pathogen,,Yes,"1,2"
Yersinia pseudotuberculosis,,,Bacterial,,633,,Known Pathogen,,,1
Haemophilus ducreyi,,,Bacterial,Chancroid,730,,Known Pathogen,,,1
Acanthamoeba astronyxis,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),65658,,Known Pathogen,,,"1,3"
Acanthamoeba castellanii,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),5755,,Known Pathogen,,,"1,3"
Acanthamoeba culbertsoni,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),43142,,Known Pathogen,,,"1,3"
Acanthamoeba divionensis,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),202919,,Known Pathogen,,,"1,3"
Acanthamoeba hatchetti,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),65660,,Known Pathogen,,,"1,3"
Acanthamoeba lenticulata,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),29196,,Known Pathogen,,,"1,3"
Acanthamoeba lugdunensis,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),61605,,Known Pathogen,,,"1,3"
Acanthamoeba polyphaga,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),5757,,Known Pathogen,,,"1,3"
Acanthamoeba rhysodes,,,Amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),32599,,Known Pathogen,,,"1,3"
Angiostrongylus cantonensis,Roundworm,,Parasitic,Rat Lung Worm Disease,6313,,Known Pathogen,,,"1,3"
Anisakis simplex,Herring Worm,,Parasitic,Anisakiasis,6269,,Known Pathogen,,,"1,3"
Anncaliia algerae,,,Parasitic,Microsporidial Myositis,723287,,Known Pathogen,,,"1,3"
Apophysomyces variabilis,,,Fungal,,760013,,Known Pathogen,,,"1,3"
Ascaris lumbricoides,Ascaris,,Parasitic,Ascariasis,6252,,Known Pathogen,,,"1,3"
Aspergillus flavus,,,Fungal,Aspergillosis,5059,,Known Pathogen,,,"1,3"
Aspergillus fumigatus,,,Fungal,Aspergillosis,746128,,Known Pathogen,,,"1,3"
Aspergillus nidulans,,,Fungal,Aspergillosis,162425,,Known Pathogen,,,"1,3"
Aspergillus niger,,,Fungal,Aspergillosis,5061,,Known Pathogen,,,"1,3"
Aspergillus terreus,,,Fungal,Aspergillosis,33178,,Known Pathogen,,,"1,3"
Babesia microti,,,Parasitic,Babesiosis,5868,,Known Pathogen,,,"1,3"
Babesia sp. venatorum,,,Parasitic,Babesiosis,171411,,Known Pathogen,,,"1,3"
Balamuthia mandrillaris,,,Parasitic,,66527,,Known Pathogen,,,1
Basidiobolus ranarum,,,Fungal,,34480,,Known Pathogen,,,1
Blastocystis hominis,,,Parasitic,Blastocystis,12968,,Known Pathogen,,,1
Blastomyces dermatitidis,,,Fungal,Blastomycosis,5039,,Known Pathogen,,,1
Blastomyces gilchristii,,,Fungal,Blastomycosis,1681229,,Known Pathogen,,,1
Blastomyces helicus,,,Fungal,Blastomycosis,465036,,Known Pathogen,,,1
Brugia malayi,,,Parasitic,Lymphatic filariasis,6279,,Known Pathogen,,,1
Brugia timori,,,Parasitic,Lymphatic filariasis,42155,,Known Pathogen,,,3
Candida albicans,,,Fungal,Candidiasis,5476,,Known Pathogen,,,1
Candida parapsilosis,,,Fungal,Candidiasis,5480,,Known Pathogen,,,1
Candida tropicalis,,,Fungal,Candidiasis,5482,,Known Pathogen,,,1
Cladophialophora bantiana,,,Fungal,Cerebral phaeohyphomycosis,89940,,Known Pathogen,,,1
Cladophialophora boppii,,,Fungal,Cerebral phaeohyphomycosis,82106,,Known Pathogen,,,1
Cladophialophora carrionii,,,Fungal,Cerebral phaeohyphomycosis,86049,,Known Pathogen,,,1
Clinostomum complanatum,,,Parasitic,,235145,,Known Pathogen,,,1
Coccidioides immitis,,,Fungal,Valley Fever (Coccidioidomycosis),5501,,Known Pathogen,,,1
Coccidioides posadasii,,,Fungal,Valley Fever (Coccidioidomycosis),199306,,Known Pathogen,,,1
Conidiobolus coronatus,,,Fungal,,34488,,Known Pathogen,,,1
Conidiobolus incongruus,,,Fungal,,90249,,Known Pathogen,,,1
Cryptococcus gattii,,,Fungal,Cryptococcosis,37769,,Known Pathogen,,,1
Cryptococcus neoformans,,,Fungal,Cryptococcosis,5207,,Known Pathogen,,,1
Cryptosporidium hominis,,,Parasitic,Cryptosporidiosis,237895,,Known Pathogen,,Yes,"1,2"
Cryptosporidium parvum,,,Parasitic,Cryptosporidiosis,5807,,Known Pathogen,,Yes,"1,2"
Curvularia australiensis,,,Fungal,,91365,,Known Pathogen,,,1
Curvularia hawaiiensis,,,Fungal,,1230527,,Known Pathogen,,,1
Curvularia spicifera,,,Fungal,,145392,,Known Pathogen,,,1
Cyclospora cayetanensis,,,Parasitic,Cyclosporiasis,88456,,Known Pathogen,,,1
Demodex brevis,,,Parasitic,,574145,,Known Pathogen,,,1
Demodex folliculorum,,,Parasitic,,481310,,Known Pathogen,,,1
Dirofilaria immitis,Heartworm,,Parasitic,Dirofliariasis,6287,,Known Pathogen,,,1
Dirofilaria repens,,,Parasitic,Dirofliariasis,31241,,Known Pathogen,,,1
Echinococcus granulosus,Sensu lato,,Parasitic,Hydatid disease (Cystic )echinocccosis,6210,,Known Pathogen,,,1
Echinococcus multilocularis,,,Parasitic,Alveolar echinococcosis,6211,,Known Pathogen,,,1
Echinococcus oligarthrus,,,Parasitic,Echinococcosis,6212,,Known Pathogen,,,1
Echinococcus vogeli,,,Parasitic,Echinococcosis,6213,,Known Pathogen,,,1
Edenia gomezpompae,,,Fungal,,461172,,Known Pathogen,,,1
Encephalitozoon cuniculi,,,Parasitic,,6035,,Known Pathogen,,,1
Encephalitozoon hellem,,,Parasitic,,27973,,Known Pathogen,,,1
Encephalitozoon intestinalis,,,Parasitic,,58839,,Known Pathogen,,,1
Entamoeba histolytica,,,Amoeba,Amoebiasis,5759,,Known Pathogen,,,1
Enterobius Vermicularis,Pinworm,,Parasitic,Enterobiasis,51028,,Known Pathogen,,,3
Enterocytozoon bieneusi,,,Parasitic,Microsporidiosis,31281,,Known Pathogen,,,1
Giardia intestinalis,Giardia duodenalis,,Parasitic,Giardiasis,5741,,Known Pathogen,,,1
Histoplasma capsulatum,,,Fungal,Histoplasmosis,5037,,Known Pathogen,,,1
Leishmania aethiopica,,,Parasitic,Cutaneous leishmaniasis,5667,,Known Pathogen,,,1
Leishmania amazonensis,,,Parasitic,Leishmaniasis,5659,,Known Pathogen,,,1
Leishmania braziliensis,,,Parasitic,Leishmaniasis,5660,,Known Pathogen,,,1
Leishmania chagasi,Leishmania infantum,,Parasitic,Leishmaniasis,44271,,Known Pathogen,,,1
Leishmania colombiensis,,,Parasitic,Leishmaniasis,93413,,Known Pathogen,,,1
Leishmania donovani,,,Parasitic,Leishmaniasis,5661,,Known Pathogen,,,1
Leishmania guyanensis,,,Parasitic,Leishmaniasis,5670,,Known Pathogen,,,1
Leishmania infantum,,,Parasitic,Leishmaniasis,5671,,Known Pathogen,,,1
Leishmania major,,,Parasitic,Leishmaniasis,5664,,Known Pathogen,,,1
Leishmania martiniquensis,,,Parasitic,Leishmaniasis,1580590,,Known Pathogen,,,1
Leishmania mexicana,,,Parasitic,Leishmaniasis,5665,,Known Pathogen,,,1
Leishmania naiffi,,,Parasitic,Leishmaniasis,5678,,Known Pathogen,,,1
Leishmania panamensis,,,Parasitic,Leishmaniasis,5679,,Known Pathogen,,,1
Leishmania peruviana,,,Parasitic,Leishmaniasis,5681,,Known Pathogen,,,1
Leishmania tropica,,,Parasitic,Leishmaniasis,5666,,Known Pathogen,,,1
Lichtheimia corymbifera,,,Fungal,,42458,,Known Pathogen,,,1
Lichtheimia ramosa,,,Fungal,,688394,,Known Pathogen,,,1
Loa loa,,,Parasitic,,7209,,Known Pathogen,,,1
Lomentospora prolificans,,,Fungal,,41688,,Known Pathogen,,,1
Mucor circinelloides,,,Fungal,,36080,,Known Pathogen,,,1
Naegleria fowleri,,,Amoeba,Amoebic meningoencephalitis (PAM),5763,,Known Pathogen,,,1
Neobalantidium coli,,,Parasitic,Balantidiasis,71585,,Known Pathogen,,,1
Onchocerca volvulus,,,Parasitic,River Blindness (Onchocerciasis),6282,,Known Pathogen,,Yes,"1,3"
Paracoccidioides brasiliensis,,,Fungal,Paracoccidioidomycosis,121759,,Known Pathogen,,,1
Paragonimus africanus,Lung Fluke,,Parasitic,Paragonimaiasis,434055,,Known Pathogen,,,1
Paragonimus heterotremus,Lung Fluke,,Parasitic,Paragonimaiasis,100268,,Known Pathogen,,,1
Paragonimus kellicotti,Lung Fluke,,Parasitic,Paragonimaiasis,100269,,Known Pathogen,,,1
Paragonimus mexicanus,Lung Fluke,,Parasitic,Paragonimaiasis,100270,,Known Pathogen,,,1
Paragonimus siamensis,Lung Fluke,,Parasitic,Paragonimaiasis,100271,,Known Pathogen,,,1
Paragonimus skrjabini,Lung Fluke,,Parasitic,Paragonimaiasis,59630,,Known Pathogen,,,1
Paragonimus westermani,Lung Fluke,,Parasitic,Paragonimaiasis,34504,,Known Pathogen,,,1
Phialophora verrucosa,,,Fungal,,39412,,Known Pathogen,,,1
Pichia kudriavzevii,,,Fungal,Candidiasis,4909,,Known Pathogen,,,1
Plasmodium falciparum,,,Parasitic,Malaria,5833,,Known Pathogen,,Yes,"1,2"
Plasmodium malariae,,,Parasitic,Malaria,5858,,Known Pathogen,,Yes,"1,2"
